id;name;code;abr
511;Kalmyk;kaly;\N
512;Kamassian;kama;\N
513;Kamba;kamb;\N
514;Kanjobal;kanj;\N
515;Kanuri;kanu;\N
516;Kapampangan;kapa;\N
517;Kapingamarangi;kapi;\N
518;Karachay-Balkar;kara;\N
519;Karelian;kare;\N
520;Kariti�na;kari;\N
521;Karakalpak;kark;\N
522;Karamojong;karm;\N
523;Kashaya;kas;\N
524;Kaurna;kau;\N
525;Kelabit;kel;\N
526;Kedah Malay;kem;\N
527;Kemi Sami;kesa;\N
528;Ket;ket;\N
529;Kalo Finnish Romani;kfr;\N
530;Khakas;khak;\N
531;Khanty;khan;\N
532;Khazar;khaz;\N
533;Khitan;khi;\N
534;Khmer;khme;\N
535;Khmu;khmu;\N
536;Khowar;kho;\N
537;Khvarshi;khv;\N
538;K'iche';kic;\N
539;Kikuyu;kik;\N
540;Kilivila;kil;\N
541;Kinyarwanda;kin;\N
542;Kiput;kip;\N
543;Kildin Sami;kisa;\N
544;!Kung;kng;\N
545;K�lsch;kol;\N
546;Komi-Peryak;kom;\N
547;Kongo;kon;\N
548;Komi-Permyak;kope;\N
549;Korean;kor;\N
550;Koryak;kory;\N
551;Kott;kot;\N
552;Komi-Zyrian;kozy;\N
553;kril;kri;\N
554;Krio;KRIL;\N
555;Krisa;krs;\N
556;Kuanua;kua;\N
557;Kumyk;kum;\N
558;Kuna;kun;\N
559;Kurudu;kur;\N
560;Kusunda;kus;\N
561;Kuvi;kuv;\N
562;Kven;kv;\N
563;Kwanyama;kwa;\N
564;Kyrgyz;kyr;\N
565;Laal;laa;\N
566;Ladin;lad;\N
567;Lak;lak;\N
568;Laki;laki;\N
569;Lakota;lako;\N
570;Latgalian;lat;\N
571;Laurentian;lau;\N
572;Lavukaleve;lav;\N
573;Laz;laz;\N
574;Literary Chinese;lci;\N
575;Louisiana Creole French;lcr;\N
576;Ladino;ldi;\N
577;Lemnian;lem;\N
578;Lenape;len;\N
579;Leonese;leo;\N
580;Lepontic;lep;\N
581;Lezgi;lez;\N
582;Libyan Arabic;lia;\N
583;Limbu;lim;\N
584;Livonian;liv;\N
585;Limburgish;lm;\N
586;Lombard;lom;\N
587;Lozi;loz;\N
588;Logudorese Sardinian;lsa;\N
589;Lower Sorbian;lso;\N
590;Luganda;lug;\N
591;Luhya;luh;\N
592;Lubuagan Kalinga;luka;\N
593;Luba-Katanga;lukt;\N
594;Lunda;lun;\N
595;Luo;luo;\N
596;Lule Sami;lusa;\N
597;Lusitanian;lusi;\N
598;Luwian;luw;\N
599;Lycian;lyc;\N
600;Lydian;lyd;\N
601;Maasai;maas;\N
602;Maay;maay;\N
603;Mauritian Creole;mac;\N
604;Madurese;mad;\N
605;Makah;maka;\N
606;Makhuwa;makh;\N
607;Makasar;maks;\N
608;Malecite-Passamaquoddy;malc;\N
609;Mal�ku Ja�ka;male;\N
610;Maltese;malt;\N
611;Manchu;manc;\N
612;Mandarin;mand;\N
613;Mangarevan;mang;\N
614;Mandinka;mani;\N
615;Mandari;manr;\N
616;Mansi;mans;\N
617;Mapudungun;map;\N
618;Marau;mara;\N
619;Mara Chin;marc;\N
620;Mari;mari;\N
621;Maricopa;maro;\N
622;Marti Ke;mark;\N
623;Marrucinian;marr;\N
624;Marsian;mars;\N
625;Martuthunira;mart;\N
626;Marwari;marw;\N
627;Massachusett;mas;\N
628;Mayangna;may;\N
629;Mazanderani;maz;\N
630;Mbabaram;mba;\N
631;Me�nkieli;mea;\N
632;Median;med;\N
633;Megleno-Romanian;meg;\N
634;Mende;men;\N
635;Meriam;meri;\N
636;Meru;meru;\N
637;Miami;mia;\N
638;Michif;mic;\N
639;Mi'kmaq;mikm;\N
640;Minangkabau;mina;\N
641;Min Dong;mind;\N
642;Mingrelian;ming;\N
643;Minoan;mino;\N
644;Mirandese;mira;\N
645;Miskito;mis;\N
646;Miyako;miy;\N
647;Mizo;mizo;\N
648;Mainstream Kenyah;mke;\N
649;Moabite;moa;\N
650;Mobilian;mob;\N
651;Mohawk;moh;\N
652;Moksah;mok;\N
653;Moksha;moks;\N
654;Mon;mon;\N
655;Monguor;mong;\N
656;Montagnais;mont;\N
657;Mop�n;mop;\N
658;Moroccan Arabic;mora;\N
659;Motu;motu;\N
660;Muduapa;mud;\N
661;Mungaka;MUGA;\N
662;Munggui;mugg;\N
663;Murrinh-Patha;mur;\N
664;Mycenaean Greek;myg;\N
665;Nage;nage;\N
666;Ndali;ndal;\N
667;Ndonga;ndo;\N
668;Neapolitan;nea;\N
669;Nenets;nen;\N
670;Newari;new;\N
671;North Frisian;nf;\N
672;Ngaanyatjarra;ngaa;\N
673;Ngaju;ngaj;\N
674;Nganasan;ngan;\N
675;Ngarrindjeri;ngar;\N
676;Ngawun;ngaw;\N
677;Navajo;nh;\N
678;Nhanda;nha;\N
679;Nias;nias;\N
680;Niuean;niu;\N
681;Nivkh;niv;\N
682;Nogai;nog;\N
683;Nootka;noo;\N
684;Novial;nov;\N
685;Norfuk;norf;\N
686;Nigerian Pidgin;np;\N
687;Norn;nrn;\N
688;Northern Sami;ns;\N
689;Nyankole;nya;\N
690;Nyunga;nyun;\N
691;Ojibwe;oj;\N
692;Okinawan;oki;\N
693;Omaha-Ponca;oma;\N
694;O'odham;ns;\N
695;Osage;osag;\N
696;Oscan;osc;\N
697;Ossetian;oss;\N
698;Ottoman Turkish;ott;\N
699;Paelignian;pae;\N
700;Pahoun;pah;\N
701;Pahouin;paho;\N
702;Paiwan;pai;\N
703;Palauan;pala;\N
704;Palu'e;palu;\N
705;Pangasinan;pang;\N
706;Panyjima;pany;\N
707;Papiamentu;papi;\N
708;Papuma;papu;\N
709;Parthian;par;\N
