name;abr 
Borôro;sai-mje
Bora;sai-bor
Borei;paa
Borong;ngf
Boruca;cba
Boselewa;poz-ocw
Bosngun;paa
Bote-Majhi;inc-eas
Botlikh;cau-and
Botolan Sambal;phi
Bouyei;tai-nor
Bozaba;bnt-ngn
Bragat;qfa-tor
Brahui;dra-nor
Braj;inc-hiw
Brazilian Sign Language;sgn
Brem;ngf
Breri;paa
Breton;br
Bribri;cba
British Sign Language;sgn
Brokkat;sit-tib
Brokpake;sit-tib
Brokskat;inc-shn
Brooke's Point Palawano;phi
Broome Pearling Lugger Pidgin;crp
Brunei Bisaya;poz-san
Brunei Malay;poz-mly
Bu-Nao Bunu;hmn
Bu;nic-nin
Bua;alv-bua
Bualkhaw Chin;tbq-kuk
Buamu;nic-bwa
Bube;nic-bds
Bubi;bnt-tso
Bubia;nic-bds
Budibud;poz-ocw
Budong-Budong;poz-ssw
Budu;bnt-nya
Budukh;cau-ssm
Buduma;cdc-cbm
Budza;bnt-bun
Bugan;mkh-pkn
Bughotu;poz-sls
Buginese;poz-ssw
Buglere;cba
Bugun;sit-khb
Buhi'non Bikol;phi
Buhid;phi
Buhutu;poz-ocw
Bujhyal;sit-gma
Bukar-Sadung Bidayuh;day
Bukat;poz-bnn
Bukawa;poz-ocw
Bukhari;ira-swi
Bukit Malay;poz-mly
Bukitan;poz-bnn
Bukiyip;qfa-tor
Bukusu;bnt-msl
Bulgar;trk-ogr
Bulgarian;bg
Bulgebi;ngf-fin
Buli (Ghana);nic-buk
Buli (Indonesia);poz-hce
Bulo Stieng;mkh-ban
Bulu (Cameroon);bnt-btb
Bulu (New Guinea);poz-ocw
Bum;nic-rnc
Bumaji;nic-ben
Bumbita Arapesh;qfa-tor
Bumthangkha;sit-ebo
Bun;paa-yua
Buna;qfa-tor
Bunaba;aus-bub
Bunak;ngf
Bunama;poz-ocw
Bundeli;inc-hiw
Bung;nic-bdn
Bungain;qfa-tor
Bungku;poz-btk
Bungu;bnt-mby
Bunoge;nic-dgw
Bunun;map
Buol;phi
Bura Mabang;ssa
Bura;cdc-cbm
Burak;alv-bwj
Buraka;nic-nkg
Burarra;aus-arn
Burate;paa-egb
Burduna;aus-psw
Bure;cdc-wst
Burji;cus-hec
Burmbar;poz-vnc
Burmese;my
Burmeso;paa-wpa
Buru (Indonesia);poz-cma
Buru (Nigeria);nic-bds
Burui;paa-spk
Burumakok;ngf-okk
Burun;sdv-niw
Burunge;cus-sou
Burushaski;qfa-iso
Burusu;poz-san
Buruwai;ngf
Buryat;xgn-cen
Busa;dmn-bbu
Busam;nic-grs
Busami;poz-hce
Busang Kayan;poz
Bushoong;bnt-bsh
Buso;cdc-est
Busoa;poz
Bussa;cus-eas
Busuu;nic-fru
Butbut Kalinga;phi
Butmas-Tur;poz-vnn
Butuanon;phi
Buwal;cdc-cbm
Buyeo;qfa-kor
Buyu;bnt-nyb
Bwa;bnt-bta
Bwaidoka;poz-ocw
Bwanabwana;poz-ocw
Bwatoo;poz-cln
Bwe Karen;kar
Bwela;bnt-bun
Bwile;bnt-sbi
Bwisi;bnt-sir
Byangsi;sit-alm
Cèmuhî;poz-cln
Caac;poz-cln
Cabécar;cba
Cabiyarí;awd-nwk
Cacaloxtepec Mixtec;omq-mxt
Cacaopera;nai-min
Cacgia Roglai;cmc
Cacua;sai-nad
Caddo;cdd
Cafundó;roa-gap
Cahuarano;sai-zap
Cahuilla;azc-cup
Cajonos Zapotec;omq-zpc
Caka;nic-tvc
Cakfem-Mushere;cdc-wst
Caló;qfa-mix
Calamian Tagbanwa;phi-kal
Caluyanun;phi
